자치구,2024년 총 범죄 발생 건수,2024년 살인 발생 건수,	2024년 강도 발생 건수,2024년 성범죄 발생 건수,2024년 절도 발생 건수,2024년 폭력 발생 건수
종로구,2765,2,5,209,1183,1366
중구,2955,5,5,177,1398,1370
용산구,3322,10,4,267,1082,1959
성동구,2117,5,3,114,966,1029
광진구,2870,2,6,235,1320,1307
동대문구,3216,7,4,125,1617,1463
중랑구,3169,5,2,143,1437,1582
성북구,2184,3,1,146,884,1150
강북구,2289,6,0,142,970,1171
도봉구,1741,7,0,73,800,861
노원구,3101,7,3,146,1508,1437
은평구,3217,9,1,132,1517,1558
서대문구,2054,3,0,131,1014,906
마포구,3891,4,4,503,1471,1909
양천구,3000,4,1,109,1518,1368
강서구,4008,5,6,271,1670,2056
구로구,3378,7,0,186,1572,1613
금천구,2017,7,3,129,886,992
영등포구,4167,11,6,284,1791,2075
동작구,2454,1,1,180,1085,1187
관악구,4485,4,3,338,1971,2169
서초구,3788,10,5,364,1585,1824
강남구,6107,16,17,640,2097,3337
송파구,5174,6,3,315,2502,2348
강동구,3350,3,4,164,1662,1517
