"동별(1)",동별(2),동별(3),2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",소계,소계,4523170,9560471,4586166,4974305,9289813,4471801,4818012,270658,114365,156293
"합계",종로구,소계,72503,147831,70200,77631,136318,65255,71063,11513,4945,6568
"합계",종로구,청운효자동,4840,10795,4894,5901,10682,4837,5845,113,57,56
"합계",종로구,사직동,4575,9129,4062,5067,8874,3917,4957,255,145,110
"합계",종로구,삼청동,1049,2271,1094,1177,2048,966,1082,223,128,95
"합계",종로구,부암동,4102,9089,4239,4850,8868,4141,4727,221,98,123
"합계",종로구,평창동,7087,17140,7899,9241,16938,7800,9138,202,99,103
"합계",종로구,무악동,2967,7720,3547,4173,7694,3535,4159,26,12,14
"합계",종로구,교남동,4337,9612,4367,5245,9473,4287,5186,139,80,59
"합계",종로구,가회동,1800,3617,1684,1933,3532,1638,1894,85,46,39
"합계",종로구,종로1.2.3.4가동,4895,8548,4980,3568,6625,3994,2631,1923,986,937
"합계",종로구,종로5.6가동,3724,5936,3015,2921,5388,2768,2620,548,247,301
"합계",종로구,이화동,4484,7593,3484,4109,7061,3260,3801,532,224,308
"합계",종로구,혜화동,9317,18889,8560,10329,15719,7491,8228,3170,1069,2101
"합계",종로구,창신1동,2645,5344,2810,2534,4372,2290,2082,972,520,452
"합계",종로구,창신2동,3881,8352,4263,4089,7078,3622,3456,1274,641,633
"합계",종로구,창신3동,2726,6283,3072,3211,6048,2936,3112,235,136,99
"합계",종로구,숭인1동,3018,6049,2950,3099,5678,2779,2899,371,171,200
"합계",종로구,숭인2동,7056,11464,5280,6184,10240,4994,5246,1224,286,938
"합계",중구,소계,63882,127819,61178,66641,117558,56416,61142,10261,4762,5499
"합계",중구,소공동,1243,3552,1709,1843,2207,1026,1181,1345,683,662
"합계",중구,회현동,2278,4675,2372,2303,4042,2045,1997,633,327,306
"합계",중구,명동,1321,3411,1533,1878,2494,1039,1455,917,494,423
"합계",중구,필동,2829,5205,2602,2603,4311,2203,2108,894,399,495
"합계",중구,장충동,2960,5446,2782,2664,4589,2405,2184,857,377,480
"합계",중구,광희동,3972,7001,3408,3593,5722,2786,2936,1279,622,657
"합계",중구,을지로동,2073,3431,1810,1621,3050,1635,1415,381,175,206
"합계",중구,신당동,4692,8678,4112,4566,7276,3518,3758,1402,594,808
"합계",중구,다산동,6701,13268,6386,6882,12837,6187,6650,431,199,232
"합계",중구,약수동,7681,15867,7327,8540,15633,7208,8425,234,119,115
"합계",중구,청구동,5026,10799,5028,5771,10631,4947,5684,168,81,87
"합계",중구,신당5동,5406,10282,4928,5354,9945,4804,5141,337,124,213
"합계",중구,동화동,3949,9882,4725,5157,9737,4653,5084,145,72,73
"합계",중구,황학동,7881,14086,6502,7584,13198,6154,7044,888,348,540
"합계",중구,중림동,5870,12236,5954,6282,11886,5806,6080,350,148,202
"합계",용산구,소계,101982,211973,101100,110873,199648,94807,104841,12325,6293,6032
"합계",용산구,후암동,8308,15998,7651,8347,15573,7440,8133,425,211,214
"합계",용산구,용산2가동,4951,9739,4756,4983,8405,4123,4282,1334,633,701
"합계",용산구,남영동,5016,7511,4434,3077,7029,4218,2811,482,216,266
"합계",용산구,청파동,11530,19706,8801,10905,18775,8578,10197,931,223,708
"합계",용산구,원효로1동,9373,17736,8112,9624,17021,7737,9284,715,375,340
"합계",용산구,원효로2동,6319,13462,6209,7253,13321,6142,7179,141,67,74
"합계",용산구,효창동,4703,10525,4922,5603,10377,4867,5510,148,55,93
"합계",용산구,용문동,5334,11147,5251,5896,11024,5187,5837,123,64,59
"합계",용산구,한강로동,11182,22545,10704,11841,20860,9828,11032,1685,876,809
"합계",용산구,이촌1동,9136,25338,11949,13389,24926,11716,13210,412,233,179
"합계",용산구,이촌2동,3552,7744,3623,4121,7695,3602,4093,49,21,28
"합계",용산구,이태원1동,3093,6684,3453,3231,5398,2648,2750,1286,805,481
"합계",용산구,이태원2동,4672,9869,4731,5138,8336,3961,4375,1533,770,763
"합계",용산구,한남동,6947,15408,7315,8093,13698,6391,7307,1710,924,786
"합계",용산구,서빙고동,5058,12904,6241,6663,12167,5854,6313,737,387,350
"합계",용산구,보광동,2808,5657,2948,2709,5043,2515,2528,614,433,181
"합계",성동구,소계,133771,282607,135812,146795,274517,132380,142137,8090,3432,4658
"합계",성동구,왕십리2동,7336,15979,7612,8367,15630,7462,8168,349,150,199
"합계",성동구,왕십리도선동,12010,26017,12187,13830,25497,11991,13506,520,196,324
"합계",성동구,마장동,11117,22388,10726,11662,21369,10437,10932,1019,289,730
"합계",성동구,사근동,8500,14307,7201,7106,12151,6283,5868,2156,918,1238
"합계",성동구,행당1동,7361,16004,7519,8485,15695,7416,8279,309,103,206
"합계",성동구,행당2동,9109,22350,10431,11919,22265,10401,11864,85,30,55
"합계",성동구,응봉동,5829,14441,6822,7619,14363,6784,7579,78,38,40
"합계",성동구,금호1가동,6328,14299,6782,7517,14227,6749,7478,72,33,39
"합계",성동구,금호2.3가동,9365,20729,9818,10911,20564,9748,10816,165,70,95
"합계",성동구,금호4가동,6289,13912,6511,7401,13743,6418,7325,169,93,76
"합계",성동구,옥수동,10723,25424,11825,13599,25166,11678,13488,258,147,111
"합계",성동구,성수1가1동,7257,15091,7434,7657,14776,7269,7507,315,165,150
"합계",성동구,성수1가2동,7084,14531,6998,7533,14275,6886,7389,256,112,144
"합계",성동구,성수2가1동,7100,13832,7127,6705,13300,6842,6458,532,285,247
"합계",성동구,성수2가3동,4883,9612,4691,4921,9330,4556,4774,282,135,147
"합계",성동구,송정동,5109,9498,4976,4522,9005,4731,4274,493,245,248
"합계",성동구,용답동,8371,14193,7152,7041,13161,6729,6432,1032,423,609
"합계",광진구,소계,172165,348627,165312,183315,330905,158151,172754,17722,7161,10561
"합계",광진구,화양동,18240,28528,12649,15879,22998,10811,12187,5530,1838,3692
"합계",광진구,군자동,11262,21345,10373,10972,18475,9035,9440,2870,1338,1532
"합계",광진구,중곡1동,8602,15330,7245,8085,14776,6991,7785,554,254,300
"합계",광진구,중곡2동,10506,20101,9407,10694,19686,9252,10434,415,155,260
"합계",광진구,중곡3동,8440,15529,7563,7966,15204,7434,7770,325,129,196
"합계",광진구,중곡4동,13190,27237,13087,14150,26778,12907,13871,459,180,279
"합계",광진구,능동,6348,11137,5130,6007,10614,4900,5714,523,230,293
"합계",광진구,광장동,11722,33105,15960,17145,32836,15836,17000,269,124,145
"합계",광진구,자양1동,12147,22429,10716,11713,21442,10302,11140,987,414,573
"합계",광진구,자양2동,12209,26601,12784,13817,26275,12637,13638,326,147,179
