자치구,관서명,구분,주소,위도,경도
중구,을지지구대,지구대,서울특별시 중구 퇴계로49길 13,37.5630606893449,127.000148951295
중구,광희지구대,지구대,서울특별시 중구  퇴계로 375-1,37.5652684538307,127.013376356837
중구,약수지구대,지구대,서울특별시 중구  동호로 5길 15,37.5521442775352,127.0123820902
중구,신당파출소,파출소,"서울특별시 중구  다산로 248 (신당동, 신당파출소)",37.5650442671787,127.01638496365
중구,장충파출소,파출소,서울특별시 중구  동호로 261,37.5587633776035,127.004802045236
중구,충무파출소,파출소,서울특별시 중구  퇴계로 178,37.5608715980974,126.991580763073
중구,을지로3가파출소,파출소,서울특별시 중구 충무로56-1,37.5661815238113,126.992848341729
종로구,종로2가지구대,지구대,서울특별시 종로구  종로17길 4 ,37.5705022157858,126.988922852655
종로구,관수파출소,파출소,서울특별시 종로구 삼일대로15길 19 1층(임시파출소),37.5686968013869,126.986345479877
종로구,세검정파출소,파출소,서울특별시 종로구  세검정로 226 ,37.6000216905431,126.958463372948
종로구,평창파출소,파출소,서울특별시 종로구  평창문화로 46,37.6052486740828,126.966627287785
종로구,삼청파출소,파출소,서울특별시 종로구 삼청로 75-2 (팔판동),37.5823437704747,126.981461876813
종로구,통의파출소,파출소,서울특별시 종로구  효자로 9,37.576770888086,126.974006743819
종로구,청운파출소,파출소,서울특별시 종로구  자하문로 92-1,37.5842278806099,126.970583868348
종로구,옥인파출소,파출소,서울특별시 종로구  자하문로17길 24,37.5814734297903,126.96942633294
종로구,교남파출소,파출소,서울특별시 종로구  송월길 152,37.571813578256,126.962199186657
중구,세종로파출소,파출소,서울특별시 중구  세종대로 141,37.5689472465748,126.976429659029
종로구,신문로파출소,파출소,서울특별시 종로구  경희궁길 6-3,37.5707552628269,126.972233913231
종로구,사직파출소,파출소,서울특별시 종로구  사직로9가길 6 1층,37.5765653446751,126.969040837991
종로구,청진파출소,파출소,서울특별시 종로구 우정국로 45-3 1층(임시파출소),37.5729712701818,126.982661854905
중구,태평로파출소,파출소,서울특별시 중구  다동길 11,37.5680079853085,126.979991439354
중구,서울역파출소,파출소,서울특별시 중구  통일로 15,37.5568900574881,126.971673520538
중구,명동파출소,파출소,서울특별시 중구  명동길 30 명동파출소,37.5635895671109,126.983968494252
중구,남대문파출소,파출소,서울특별시 중구  남대문시장4길 28-16,37.5590136645085,126.97639193096
중구,중림파출소,파출소,서울특별시 중구  중림로 36,37.5578893434364,126.967115615717
중구,회현파출소,파출소,서울특별시 중구  퇴계로6길 3-15,37.5584412507708,126.978707165189
중구,서소문파출소,파출소,서울특별시 중구  서소문로 131-1 서소문파출소,37.5638375727378,126.975371960747
서대문구,충정로지구대,지구대,서울특별시 서대문구  독립문로 25-1,37.5698843736468,126.961109299589
서대문구,신촌지구대,지구대,서울특별시 서대문구  신촌역로 22,37.5585525829582,126.943009871743
서대문구,홍은파출소,파출소,서울특별시 서대문구 세검정로1길 112,37.5952477134009,126.946423973198
서대문구,연희파출소,파출소,서울특별시 서대문구  연희로25길 73,37.5702755077088,126.932849090842
서대문구,남가좌파출소,파출소,서울특별시 서대문구  가재울로4길 51,37.5760556480691,126.924059116925
서대문구,북가좌파출소,파출소,서울특별시 서대문구  응암로1길 13,37.5813233182072,126.910566763346
서대문구,홍제파출소,파출소,서울특별시 서대문구  통일로 441-1,37.5881707286561,126.944553282812
서대문구,홍은2파출소,파출소,서울특별시 서대문구  연희로 298,37.5836053290869,126.936211181249
종로구,혜화파출소,파출소,서울특별시 종로구  창경궁로 279 ,37.5861083962149,127.001407548091
종로구,대학로파출소,파출소,서울특별시 종로구  이화장2길 33,37.578611713366,127.006045329114
종로구,명륜파출소,파출소,서울특별시 종로구  성균관로 78,37.5892784329492,126.99759929956
종로구,창신파출소,파출소,서울특별시 종로구  지봉로13길 20-12,37.5784936918859,127.013541968647
종로구,동묘파출소,파출소,서울특별시 종로구  종로58가길 19 동묘파출소,37.5726963187211,127.017117455617
종로구,덕산파출소,파출소,서울시 종로구 낙산성곽동길 20-1,37.5744069177335,127.009344715593
종로구,종로5가파출소,파출소,서울특별시 종로구  동호로 407,37.5707367126759,127.0016317274
종로구,효제파출소,파출소,서울특별시 종로구  종로41나길 24-6,37.5729430706406,127.004866460652
용산구,원효지구대,지구대,서울특별시 용산구  백범로 329,37.5389037956572,126.965012154483
용산구,용중지구대,지구대,"서울특별시 용산구  후암로16나길 17, 용중지구대",37.549159039208,126.978479404326
용산구,이태원파출소,파출소,서울특별시 용산구  이태원로 184,37.5343148256842,126.994425069817
용산구,한남파출소,파출소,"서울특별시 용산구  대사관로34길 53, 한남파출소",37.5310848781248,127.006342547451
용산구,보광파출소,파출소,"서울특별시 용산구  보광로 25-1, 보광파출소",37.5265772465655,127.000208837482
용산구,삼각지파출소,파출소,서울특별시 용산구  한강대로198-2,37.5361101058592,126.974708440403
용산구,한강로지구대,지구대,서울특별시 용산구  서빙고로67,37.5248628078572,126.970412727842
성북구,돈암지구대,지구대,서울특별시 성북구  아리랑로5길 54,37.597322581692,127.012403387654
성북구,안암지구대,지구대,서울특별시 성북구  지봉로21길 45,37.5867215345551,127.016598379745
성북구,길음지구대,지구대,서울특별시 성북구  삼양로13길 51 길음지구대,37.6106032462374,127.01927530244
성북구,정릉파출소,파출소,서울특별시 성북구  솔샘로 111,37.6160729681366,127.008602830264
성북구,정릉2파출소,파출소,서울특별시 성북구  정릉로26길 6 정릉2파출소,37.6045609452845,127.010720369254
성북구,성북파출소,파출소,서울특별시 성북구  성북로 94  성북파출소,37.5932727259297,126.998471952841
동대문구,답십리지구대,지구대,서울시 동대문구 사가정로 2길 9,37.5712942968163,127.051067616943
동대문구,용신지구대,지구대,서울특별시 동대문구  청계천로549,37.5728434233834,127.037208959975
동대문구,청량리파출소,파출소,서울특별시 동대문구 약령시로21가길 15,37.58408952045192,127.0452640374931
동대문구,제기파출소,파출소,서울특별시 동대문구 약령시로 17길 59-11,37.5855626699461,127.042026415272
동대문구,전농1파출소,파출소,서울특별시 동대문구 서울시립대로 56,37.5761294460211,127.047938093483
동대문구,전농2파출소,파출소,서울특별시 동대문구 전농로38다길 21,37.5863730931314,127.054229172919
동대문구,장안1파출소,파출소,서울특별시 동대문구 한천로20길 9,37.5696342993256,127.065004726024
동대문구,장안2파출소,파출소,서울특별시 동대문구  답십리로 69길 100,37.5767936401153,127.074403847227
동대문구,이문지구대,지구대,서울특별시 동대문구  한천로 402,37.5964838564998,127.068115327653
동대문구,휘경파출소,파출소,서울특별시 동대문구  한천로 266,37.5846745156333,127.068023841813
동대문구,회기파출소,파출소,서울특별시 동대문구  회기로18길 2,37.5910847312738,127.05184927022
마포구,서강지구대,지구대,"서울특별시 마포구  독막로22길 8(창전동, 서강지구대)",37.5473472146038,126.929311426746
마포구,공덕지구대,지구대,서울특별시 마포구 마포대로 195-1,37.5518094602317,126.954039818166
마포구,월드컵지구대,지구대,서울특별시 마포구  월드컵북로 30길 24,37.5687316891162,126.909082347349
마포구,홍익지구대,지구대,서울특별시 마포구  양화로11길 63,37.5518763429182,126.913462507314
마포구,용강지구대,지구대,서울특별시 마포구 토정로31길 35,37.5425613405773,126.943083375629
