동별(1),동별(2),2026 1/2,2026 1/2,2026 1/2,2026 1/2,2026 1/2,2026 1/2,2026 1/2,2026 1/2,2026 1/2,2026 1/2,2026 1/2,2026 1/2
동별(1),동별(2),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
동별(1),동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
합계,소계,4523170,9560471,4586166,4974305,9289813,4471801,4818012,270658,114365,156293,2.05,1962133
합계,종로구,72503,147831,70200,77631,136318,65255,71063,11513,4945,6568,1.88,31552
합계,중구,63882,127819,61178,66641,117558,56416,61142,10261,4762,5499,1.84,28191
합계,용산구,101982,211973,101100,110873,199648,94807,104841,12325,6293,6032,1.96,40668
합계,성동구,133771,282607,135812,146795,274517,132380,142137,8090,3432,4658,2.05,54678
합계,광진구,172165,348627,165312,183315,330905,158151,172754,17722,7161,10561,1.92,64533
합계,동대문구,180852,373535,179162,194373,352848,171755,181093,20687,7407,13280,1.95,74936
합계,중랑구,190348,383387,186546,196841,376386,183583,192803,7001,2963,4038,1.98,91013
합계,성북구,199807,436471,206585,229886,421762,201144,220618,14709,5441,9268,2.11,89361
합계,강북구,142815,285435,136072,149363,278041,133590,144451,7394,2482,4912,1.95,76154
합계,도봉구,139118,301457,144981,156476,298225,143845,154380,3232,1136,2096,2.14,80390
합계,노원구,217498,486509,232025,254484,481053,229866,251187,5456,2159,3297,2.21,107232
합계,은평구,214777,457745,215871,241874,453212,214139,239073,4533,1732,2801,2.11,105184
합계,서대문구,147178,315872,145940,169932,299810,141189,158621,16062,4751,11311,2.04,63958
합계,마포구,180580,367787,169243,198544,356487,165403,191084,11300,3840,7460,1.97,63424
합계,양천구,179105,424565,206166,218399,421247,204885,216362,3318,1281,2037,2.35,86816
합계,강서구,274577,555152,264507,290645,548515,261729,286786,6637,2778,3859,2,116785
합계,구로구,185143,404659,198273,206386,382633,186738,195895,22026,11535,10491,2.07,90489
합계,금천구,122059,235351,118278,117073,222503,111649,110854,12848,6629,6219,1.82,52318
합계,영등포구,193619,393312,192290,201022,371867,181242,190625,21445,11048,10397,1.92,75233
합계,동작구,188064,384204,184273,199931,371999,179484,192515,12205,4789,7416,1.98,77633
합계,관악구,291311,497589,247915,249674,477797,240032,237765,19792,7883,11909,1.64,94982
합계,서초구,173895,419310,198980,220330,414383,196662,217721,4927,2318,2609,2.38,74096
합계,강남구,244779,558993,266597,292396,552830,263818,289012,6163,2779,3384,2.26,97774
합계,송파구,289693,656460,313815,342645,650258,311081,339177,6202,2734,3468,2.24,123660
합계,강동구,223649,503821,245045,258776,499011,242958,256053,4810,2087,2723,2.23,101073
