자치구,CCTV수량,범죄예방수사_소계,방범,어린이보호구역,공원놀이터,쓰레기무단투기,시설안전화재예방,교통단속,교통정보수집분석,기타다른법령
종로구,3187,2947,1944,105,898,0,58,182,0,0
중구,3522,2952,2487,82,321,62,225,345,0,0
용산구,4018,3572,2991,183,398,0,5,441,0,0
성동구,4829,4261,3056,429,493,283,117,451,0,0
광진구,4866,4584,3203,636,687,58,181,101,0,0
동대문구,4323,4019,3022,305,650,42,1,287,0,16
중랑구,5549,5161,4352,141,657,11,80,308,0,0
성북구,5401,5091,3883,544,664,0,36,256,18,0
강북구,4601,4437,3421,357,659,0,49,115,0,0
도봉구,3121,2927,2042,198,687,0,74,120,0,0
노원구,4245,3845,2196,372,1172,105,257,143,0,0
은평구,6160,5437,3986,166,1285,0,337,386,0,0
서대문구,4492,3801,2561,136,1104,0,240,451,0,0
마포구,4111,3825,2897,234,654,40,43,243,0,0
양천구,5066,4656,3038,840,778,0,0,216,0,194
강서구,4759,4592,3457,314,821,0,0,167,0,0
구로구,6266,5430,3793,575,1022,40,323,513,0,0
금천구,3986,3671,2705,312,587,67,11,304,0,0
영등포구,5518,4751,3970,278,503,0,87,680,0,0
동작구,4329,3901,2677,448,757,19,203,90,135,0
관악구,7260,6202,4741,239,1073,149,831,227,0,0
서초구,6410,4154,3070,200,884,0,941,1315,0,0
강남구,8600,7364,5445,1083,836,0,262,927,0,47
송파구,5039,4297,2902,481,914,0,246,496,0,0
강동구,4923,4751,3732,268,751,0,0,172,0,0
